word,girls,boys
disappoint,24,13
necessary,23,19
changeable,20,22
almanac,19,14
certainly,15,15
lose,15,12
slipped,13,9
deceive,13,7
whistling,11,11
purpose,9,10
speech,8,15
receive,7,12
loose,7,7
listened,6,9
choose,6,6
queer,6,5
hopping,6,5
believe,5,8
writing,5,7
smooth,5,5
language,5,3
neighbor,4,7
learn,4,2
changing,3,11
careful,3,8
frightened,3,6
baking,3,6
peace,3,6
laughter,3,6
waiting,2,8
chain,2,7
thought,2,6
weather,2,4
light,2,4
surface,2,4
strange,2,4
enough,2,2
running,2,2
distance,1,6
getting,1,3
better,1,2
feather,1,0
rough,0,5
covered,0,5
always,0,4
mixture,0,4
driving,0,3
because,0,1
picture,0,0
